datetime,temp,feelslike,dew,humidity,precip,precipprob,windspeed,winddir,windgust,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,PM25_Idgah_Hills,PM10_Idgah_Hills,NO_Idgah_Hills,SO2_Idgah_Hills,CO_Idgah_Hills,O3_Idgah_Hills,Benzene_Idgah_Hills,NO2_Idgah_Hills,NH3_Idgah_Hills,PM25_TT_Nagar,PM10_TT_Nagar,NO_TT_Nagar,SO2_TT_Nagar,CO_TT_Nagar,O3_TT_Nagar,NO2_TT_Nagar,NH3_TT_Nagar,PM25_Paryavaran_Parisar,PM10_Paryavaran_Parisar,NO_Paryavaran_Parisar,SO2_Paryavaran_Parisar,CO_Paryavaran_Parisar,O3_Paryavaran_Parisar,Benzene_Paryavaran_Parisar,NO2_Paryavaran_Parisar,NH3_Paryavaran_Parisar,year,month,day,hour,dayofweek,hour_sin,hour_cos,month_sin,month_cos
2025-06-12 20:00:00,95.2,96.7,63.0,34.67,0.0,0.0,4.7,140.0,9.2,996.9,25.2,3.7,10.5,0.0,30.829876781096296,43.45665902982976,2.5956092029262763,9.84712572200377,0.6310758259538748,17.488123735196904,0.4989792606865777,19.122666884862006,17.565424489814735,28.307922795727677,63.648509295582464,1.525411536387146,8.62791638816029,0.8025469849860094,30.378570974180732,21.55691832886955,26.83191175996054,21.005508664045248,53.47423835228713,1.1212734924930048,10.296101755857853,0.39034024643780746,32.97302335765751,0.4290343473270302,10.379698613844955,8.781011012718329,2025,6,12,20,3,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
2025-06-12 21:00:00,95.4,99.7,67.2,39.84,0.0,0.0,3.6,66.8,6.3,999.0,21.8,3.7,0.0,0.0,30.945743116474826,43.563572057474495,2.595503869894114,9.85713236005919,0.6315814245082538,17.558128068371968,0.4996744586988489,19.119612226929302,17.576589791223938,28.423262465945395,63.79193075217465,1.5248216714070373,8.639861154007496,0.8045272459906606,30.366541941907794,21.57387694704768,26.973015889845158,21.12558832071027,53.67753110436037,1.1222636229953304,10.287611913465572,0.3901085137670504,32.935672264452755,0.43093034190595164,10.41519584568365,8.787752326776717,2025,6,12,21,3,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0
2025-06-12 22:00:00,91.5,94.4,66.3,43.66,0.0,0.0,4.7,180.0,5.8,1002.0,25.2,3.7,0.0,0.0,31.061609451853357,43.67048508511923,2.5953985368619517,9.867138998114608,0.6320870230626329,17.628132401547035,0.5003696567111201,19.116557568996594,17.58775509263314,28.538602136163114,63.935352208766844,1.5242318064269285,8.6518059198547,0.8065075069953118,30.35451290963486,21.59083556522581,27.114120019729775,21.245667977375295,53.880823856433615,1.123253753497656,10.27912207107329,0.3898767810962933,32.89832117124801,0.43282633648487306,10.450693077522345,8.794493640835105,2025,6,12,22,3,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0
2025-06-12 23:00:00,91.6,92.5,62.8,38.56,0.0,0.0,4.7,20.0,6.0,997.9,61.8,3.7,0.0,0.0,31.177475787231888,43.77739811276397,2.5952932038297893,9.877145636170027,0.6325926216170119,17.698136734722098,0.5010648547233912,19.113502911063886,17.598920394042345,28.653941806380832,64.07877366535902,1.5236419414468194,8.663750685701906,0.8084877679999631,30.342483877361925,21.60779418340394,27.255224149614392,21.365747634040318,54.084116608506854,1.1242438839999818,10.27063222868101,0.38964504842553627,32.86097007804325,0.43472233106379443,10.48619030936104,8.801234954893491,2025,6,12,23,3,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0
2025-06-13 00:00:00,91.5,91.5,60.9,36.13,0.0,0.0,4.7,80.0,6.5,1003.0,61.8,3.7,0.0,0.0,31.29334212261042,43.8843111404087,2.595187870797627,9.887152274225446,0.633098220171391,17.768141067897165,0.5017600527356625,19.11044825313118,17.61008569545155,28.76928147659855,64.22219512195122,1.5230520764667106,8.67569545154911,0.8104680290046143,30.33045484508899,21.62475280158207,27.39632827949901,21.485827290705338,54.28740936058009,1.1252340145023074,10.262142386288728,0.3894133157547792,32.823618984838504,0.43661832564271585,10.521687541199736,8.80797626895188,2025,6,13,0,4,0.0,1.0,1.2246467991473532e-16,-1.0
2025-06-13 01:00:00,86.1,89.6,68.1,55.09,0.0,0.0,9.2,180.0,9.2,1003.0,61.8,3.7,0.0,0.0,31.409208457988946,43.991224168053435,2.5950825377654647,9.897158912280863,0.63360381872577,17.83814540107223,0.5024552507479336,19.107393595198474,17.621250996860752,28.884621146816272,64.36561657854341,1.5224622114866018,8.687640217396316,0.8124482900092657,30.318425812816056,21.641711419760203,27.537432409383626,21.60590694737036,54.49070211265333,1.1262241450046329,10.253652543896447,0.3891815830840222,32.78626789163375,0.4385143202216373,10.557184773038431,8.814717583010266,2025,6,13,1,4,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0
2025-06-13 02:00:00,86.1,88.5,66.1,51.43,0.0,0.0,8.1,200.0,14.3,998.3,61.8,3.7,0.0,0.0,31.525074793367477,44.09813719569817,2.5949772047333024,9.907165550336282,0.634109417280149,17.908149734247292,0.5031504487602049,19.10433893726577,17.63241629826996,28.99996081703399,64.50903803513559,1.521872346506493,8.69958498324352,0.8144285510139169,30.30639678054312,21.658670037938332,27.678536539268244,21.725986604035384,54.69399486472657,1.1272142755069585,10.245162701504166,0.3889498504132651,32.748916798429,0.4404103148005587,10.592682004877126,8.821458897068654,2025,6,13,2,4,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0
2025-06-13 03:00:00,88.8,91.5,66.3,47.52,0.0,0.0,9.6,194.9,17.2,1000.0,16.7,3.7,0.0,0.0,31.640941128746007,44.20505022334291,2.59487187170114,9.917172188391701,0.6346150158345281,17.97815406742236,0.503845646772476,19.10128427933306,17.643581599679163,29.11530048725171,64.65245949172778,1.521282481526384,8.711529749090726,0.8164088120185681,30.294367748270187,21.675628656116462,27.819640669152864,21.846066260700407,54.897287616799815,1.1282044060092842,10.236672859111883,0.38871811774250803,32.711565705224245,0.4423063093794801,10.628179236715821,8.82820021112704,2025,6,13,3,4,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0
2025-06-13 04:00:00,85.2,90.4,71.0,62.56,0.0,0.0,9.6,191.7,17.4,1000.0,7.5,3.7,0.0,0.0,31.756807464124538,44.31196325098764,2.5947665386689778,9.92717882644712,0.6351206143889071,18.048158400597423,0.5045408447847471,19.098229621400353,17.654746901088366,29.230640157469427,64.79588094831998,1.520692616546275,8.72347451493793,0.8183890730232194,30.282338715997252,21.692587274294592,27.96074479903748,21.966145917365427,55.100580368873054,1.1291945365116098,10.228183016719601,0.388486385071751,32.67421461201949,0.4442023039584015,10.663676468554517,8.834941525185428,2025,6,13,4,4,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
2025-06-13 05:00:00,82.6,85.6,68.1,61.62,0.0,0.0,6.9,160.0,17.2,998.9,61.8,3.1,0.0,0.0,31.87267379950307,44.418876278632375,2.5946612056368155,9.937185464502537,0.6356262129432861,18.11816273377249,0.5052360427970184,19.09517496346765,17.66591220249757,29.345979827687145,64.93930240491215,1.5201027515661663,8.735419280785134,0.8203693340278706,30.270309683724317,21.709545892472722,28.1018489289221,22.08622557403045,55.30387312094629,1.1301846670139355,10.21969317432732,0.3882546524009939,32.63686351881474,0.4460982985373229,10.699173700393212,8.841682839243814,2025,6,13,5,4,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0
