datetime,temp,feelslike,dew,humidity,precip,precipprob,windspeed,winddir,windgust,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,PM25_Idgah_Hills,PM10_Idgah_Hills,NO_Idgah_Hills,SO2_Idgah_Hills,CO_Idgah_Hills,O3_Idgah_Hills,Benzene_Idgah_Hills,NO2_Idgah_Hills,NH3_Idgah_Hills,PM25_TT_Nagar,PM10_TT_Nagar,NO_TT_Nagar,SO2_TT_Nagar,CO_TT_Nagar,O3_TT_Nagar,NO2_TT_Nagar,NH3_TT_Nagar,PM25_Paryavaran_Parisar,PM10_Paryavaran_Parisar,NO_Paryavaran_Parisar,SO2_Paryavaran_Parisar,CO_Paryavaran_Parisar,O3_Paryavaran_Parisar,Benzene_Paryavaran_Parisar,NO2_Paryavaran_Parisar,NH3_Paryavaran_Parisar,year,month,day,hour,dayofweek,hour_sin,hour_cos,month_sin,month_cos
2025-09-17 17:00:00,77.1,77.1,73.5,88.68,0.0,0.0,6.9,211.0,11.6,1004.2,72.7,3.1,216.2,2.0,56.28994367621769,190.92613791444305,1.053015661929813,9.86873359531017,0.540767094652498,47.184806889246524,0.3854079941845893,17.533861642847697,13.683603297129158,51.95623736078127,206.65948917146198,1.6618727871682328,12.214709423721208,1.080142644539398,47.54664875892243,42.148709952201116,35.51202754940037,56.27322681514813,194.86114374102695,8.78797669070732,5.478556035377822,0.44280597643237124,33.05176625890771,1.6531005814333612,37.2526560687098,12.340014814493497,2025.0,9.0,17.0,17.0,2.0,-0.9659258262890684,-0.2588190451025206,-1.0,-1.8369701987210294e-16
2025-09-17 18:00:00,75.3,75.3,73.5,94.15,0.0,0.0,3.4,280.0,4.9,1008.0,72.8,3.1,53.0,1.0,56.28712914354959,190.91437769329676,1.0530303208153249,9.868982559967524,0.5407820073785895,47.18543114647884,0.38541836246009004,17.5348637164657,13.683702780924147,51.95506949843507,206.66026173979017,1.6618552082006828,12.203812074014065,1.0801466800823034,47.547522979883404,42.14804943767515,35.514453872649725,56.27388751023639,194.86251731424025,8.788048132612122,5.4786877774552725,0.442814446736866,33.05008304019109,1.6531145324537342,37.253873787394745,12.340576502657377,2025.0,9.0,17.0,18.0,2.0,-1.0,-1.8369701987210294e-16,-1.0,-1.8369701987210294e-16
2025-09-17 19:00:00,73.5,73.5,69.9,88.52,0.0,0.0,4.7,30.0,2.9,1009.0,72.8,3.1,16.6,0.0,56.2877733133243,190.89856462009467,1.0530485253813193,9.869278893688042,0.5407996613212994,47.18619963157242,0.38543067634486317,17.536150597890806,13.683824584034426,51.953655994417616,206.66044486492228,1.6618335829967072,12.207642214775966,1.0801516706775016,47.54859458388941,42.14723939498558,35.51732044189178,56.274700180357335,194.86421424347728,8.788147990209671,5.478845208038868,0.44282482783667143,33.04753207478125,1.6531323199853007,37.25530907282296,12.34124873063301,2025.0,9.0,17.0,19.0,2.0,-0.9659258262890684,0.2588190451025203,-1.0,-1.8369701987210294e-16
2025-09-17 20:00:00,73.5,73.5,71.7,94.11,0.0,0.0,9.2,110.0,2.5,1007.7,72.8,1.9,0.0,0.0,56.28758702122903,190.88297141669375,1.0530697993215152,9.869611238243994,0.5408194781674961,47.1870928923482,0.38544455745822004,17.537569442458715,13.683965545322431,51.952035532746336,206.90144318936092,1.6618084535544888,12.20661094442935,1.0801574936172191,47.54983588091758,42.146300664044105,35.52053499570726,56.27564460691936,194.86619211588507,8.78827764643662,5.47902353333756,0.4428368512567579,33.044182174044536,1.6531534346325174,37.25691231282173,12.342011630279403,2025.0,9.0,17.0,20.0,2.0,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210294e-16
2025-09-17 21:00:00,71.7,71.7,71.7,100.0,0.0,0.0,6.9,110.0,3.6,1011.0,72.8,1.9,0.0,0.0,56.28613998331978,190.86832343296908,1.0530937154650402,9.869971328640569,0.5408408231102405,47.18809340227356,0.38545965833786844,17.539313633931293,13.684122779036924,51.95024449145061,206.83006529180392,1.6617803057079268,12.204690027097586,1.080164040103033,47.55122161886256,42.14525217324777,35.523998688411474,56.27670286430015,194.86841307394667,8.788433306339304,5.479217821553332,0.44285027228294027,33.04038343085909,1.6531773911707317,37.25862625388764,12.342845691514595,2025.0,9.0,17.0,21.0,2.0,-0.7071067811865477,0.7071067811865474,-1.0,-1.8369701987210294e-16
2025-09-17 22:00:00,71.7,71.7,71.7,100.0,0.0,0.0,6.9,150.0,3.8,1011.0,72.8,1.9,0.0,0.0,56.280587122313804,190.85438416915804,1.0531199249856185,9.870347840918765,0.5408629172526216,47.189186512253094,0.3854756302624814,17.541298164764118,13.684293798492527,51.948316461249135,206.78144136071614,1.6617495419557193,12.20765703838308,1.0801712224028739,47.55273011470725,42.14411005480308,35.52759467703446,56.277860398943666,194.8708461666177,8.788611160835893,5.47942228041697,0.44286488054343126,33.03621422295844,1.6532038383558256,37.2603755945225,12.343731630457906,2025.0,9.0,17.0,22.0,2.0,-0.5000000000000004,0.8660254037844384,-1.0,-1.8369701987210294e-16
2025-09-17 23:00:00,71.7,71.7,71.7,100.0,0.0,0.0,3.4,250.0,4.0,1007.9,72.8,1.9,0.0,0.0,56.27260624927473,190.84048447785125,1.0531481765918378,9.870726630057122,0.5408846893097654,47.19036110502352,0.38549210071750833,17.54400763052131,13.684476586812176,51.946282643859774,206.74196064165048,1.6617164623302076,12.210992972731969,1.080178979220289,47.55434391390978,42.14288709878246,35.5311683984785,56.27910681359259,194.87346906499087,8.788806040608872,5.479629997096587,0.442880506172243,33.03183917863888,1.6532325331269202,37.262049613681086,12.344647337913598,2025.0,9.0,17.0,23.0,2.0,-0.2588190451025215,0.965925826289068,-1.0,-1.8369701987210294e-16
2025-09-18 00:00:00,76.7,76.7,75.1,94.75,0.0,0.0,4.0,246.5,5.4,1008.0,100.0,1.9,0.0,0.0,56.26863532271339,190.82639563680533,1.053178326522552,9.871087975641803,0.5409045220523955,47.19160975848372,0.38550863261250506,17.546250571949095,13.68466958126842,51.94417379423689,206.70657029179844,1.6616812585609468,12.214664982385447,1.0801872783624729,47.55604973273935,42.14159275398361,35.53449362967874,56.280436168288226,194.87626880025246,8.78901014691975,5.479830901911205,0.442897017882619,33.027845125780985,1.6532628702534162,37.263473053139826,12.345568278071365,2025.0,9.0,18.0,0.0,3.0,0.0,1.0,-1.0,-1.8369701987210294e-16
2025-09-18 01:00:00,76.2,76.2,74.6,94.74,0.0,0.0,4.0,256.8,6.9,1008.0,100.0,1.9,0.0,0.0,56.26543332646096,190.81244490182434,1.0532103279192038,9.871401647226147,0.5409198527450026,47.19292809375193,0.3855246446784603,17.548138809968894,13.684871534673153,51.94202331535053,206.67587748476365,1.6616440307733302,12.218114756371246,1.080196114007998,47.55783723194028,42.14023399583848,35.53721667979193,56.28184645466328,194.87924077088303,8.789210670383266,5.480009914850326,0.4429143094770127,33.02496640679796,1.653295062570232,37.264361429260305,12.346459847156096,2025.0,9.0,18.0,1.0,3.0,0.2588190451025207,0.9659258262890684,-1.0,-1.8369701987210294e-16
2025-09-18 02:00:00,71.7,71.7,71.7,100.0,0.0,0.0,3.4,270.0,6.7,1005.5,94.6,1.9,0.0,0.0,56.26347028148626,190.80023106478438,1.0532441934040224,9.87161868821232,0.5409265352025603,47.19431293418849,0.3855392937428087,17.54929512666912,13.685081154783392,51.93987998558749,206.65134693209072,1.6616048365901472,12.216442934458566,1.0802054971096673,47.559696062383956,42.13881750807782,35.53876206541363,56.28333787631925,194.8823852657581,8.789387647417712,5.480141973869701,0.4429322675778511,33.023374645507346,1.6533286761047523,37.264252905031206,12.34727072982653,2025.0,9.0,18.0,2.0,3.0,0.4999999999999999,0.8660254037844387,-1.0,-1.8369701987210294e-16
